"day_of_week","collision_type","crash_month","weather","vehicle_count","time_of_day","maj_inj_count","max_severity_level","dec_lat","dec_long"
2,7,1,2,2,2221,0,8,40.42100143,-80.042099
4,1,1,1,2,720,0,3,40.43529892,-79.96759796
7,7,1,4,1,1356,0,4,40.43930054,-80.18990326
7,5,1,4,2,1153,0,4,40.6310997,-79.98619843
6,1,1,1,4,1645,0,4,40.59289932,-79.75240326
2,2,1,1,3,1616,0,4,40.40179825,-79.77770233
3,6,1,4,2,626,0,4,40.26449966,-79.87860107
1,7,1,4,1,1320,0,8,40.41230011,-79.99289703
4,7,1,8,1,817,0,4,40.47370148,-79.90399933
4,4,1,1,2,1236,0,4,40.44409943,-80.02809906
4,4,1,1,2,1315,0,8,40.44879913,-80.02050018
3,1,1,1,3,1755,0,8,40.62319946,-79.92320251
4,7,1,8,1,1710,0,8,40.4836998,-79.86399841
4,1,1,1,3,1545,0,8,40.41239929,-79.95559692
4,1,1,8,2,735,0,4,40.50500107,-80.08509827
4,8,1,1,1,1708,0,8,40.44869995,-79.98940277
4,2,1,8,2,906,0,4,40.52280045,-80.08100128
4,5,1,1,2,2040,0,4,40.42699814,-79.96690369
4,7,1,1,1,2205,0,4,40.39089966,-80.20110321
5,6,1,1,2,25,0,3,40.39820099,-80.00119781
5,7,1,1,1,226,1,2,40.46469879,-79.85430145
5,7,1,8,1,349,0,8,40.44630051,-79.93280029
7,4,1,1,2,937,0,8,40.44409943,-79.99349976
4,1,1,1,2,1320,0,8,40.45539856,-79.95410156
5,2,1,1,2,835,0,4,40.42760086,-79.90589905
5,1,1,1,3,829,0,8,40.47439957,-80.06410217
5,4,1,1,2,847,0,8,40.35589981,-79.89769745
5,2,1,4,2,738,0,3,40.39110184,-79.97789764
5,7,1,1,1,1648,0,8,40.41579819,-80.07170105
5,2,1,1,2,1629,0,3,40.6344986,-79.71340179
7,7,1,1,1,1555,0,4,40.41579819,-80.05960083
1,1,1,1,2,801,0,8,40.4435997,-79.76550293
5,4,1,1,2,1855,0,4,40.40119934,-79.98840332
2,1,1,1,6,743,0,4,40.42559814,-79.9108963
3,1,1,1,2,815,0,3,40.43909836,-79.86170197
2,1,1,1,2,1913,0,8,40.37689972,-79.87550354
5,4,1,1,2,1050,0,4,40.43439865,-79.79319763
6,4,1,1,3,855,0,4,40.39110184,-79.76599884
5,4,1,1,2,1204,0,8,40.61109924,-79.96829987
6,4,1,1,2,924,0,4,40.36970139,-80.03309631
6,1,1,1,2,1122,0,4,40.44689941,-79.82769775
6,8,1,1,1,623,0,8,40.43809891,-79.99780273
6,4,1,1,3,1337,0,8,40.32089996,-79.94210052
6,4,1,1,2,1620,0,4,40.35400009,-79.82319641
5,4,1,1,2,815,0,4,40.51710129,-80.22160339
4,4,1,1,2,2010,0,3,40.33850098,-80.01779938
6,1,1,1,3,1700,0,4,40.48740005,-79.91840363
